p_mean_age,p_max_age,p_proportion_wearing_masks,p_healthcare_capacity,p_self_isolate_proportion,p_lockdown,p_lockdown_percentage,p_lockdown_compliance,r_timesteps,r_dead,r_recovered,r_infected,r_infectious,r_unaffected
36.89453125,78.30078125,0.1435546875,75.439453125,0.1552734375,True,0.1379345703125,2.92919921875,1560,40,459,0,0,1
36.89453125,78.30078125,0.1435546875,75.439453125,0.1552734375,True,0.2133447265625,74.63916015625,2623,14,436,0,0,50
37.51953125,91.66015625,0.9599609375,32.470703125,0.2861328125,True,0.1379345703125,74.63916015625,2138,9,447,0,0,44
46.89453125,108.30078125,0.6435546875,200.439453125,0.6552734375,False,0.4608447265625,52.67919921875,2501,10,402,0,0,88
47.51953125,108.30078125,0.6435546875,200.439453125,0.6552734375,False,0.4608447265625,52.67919921875,1640,18,461,0,0,21
46.89453125,61.66015625,0.6435546875,200.439453125,0.6552734375,False,0.4608447265625,52.67919921875,1785,16,446,0,0,38
46.89453125,108.30078125,0.4599609375,200.439453125,0.6552734375,False,0.4608447265625,52.67919921875,1552,17,453,0,0,30
46.89453125,108.30078125,0.6435546875,157.470703125,0.6552734375,False,0.4608447265625,52.67919921875,2150,16,431,0,0,53
46.89453125,108.30078125,0.6435546875,200.439453125,0.7861328125,False,0.4608447265625,52.67919921875,1724,11,439,0,0,50
46.89453125,108.30078125,0.6435546875,200.439453125,0.6552734375,False,0.4608447265625,52.67919921875,2056,12,420,0,0,68
46.89453125,108.30078125,0.6435546875,200.439453125,0.6552734375,False,0.3854345703125,52.67919921875,1462,16,461,0,0,23
46.89453125,108.30078125,0.6435546875,200.439453125,0.6552734375,False,0.4608447265625,24.88916015625,1495,20,464,0,0,16
47.51953125,61.66015625,0.4599609375,157.470703125,0.7861328125,False,0.3854345703125,24.88916015625,2081,14,456,0,0,30
41.89453125,63.30078125,0.3935546875,12.939453125,0.9052734375,False,0.0895947265625,77.55419921875,2418,13,440,0,0,47
42.51953125,63.30078125,0.3935546875,12.939453125,0.9052734375,False,0.0895947265625,77.55419921875,1848,22,454,0,0,24
41.89453125,76.66015625,0.3935546875,12.939453125,0.9052734375,False,0.0895947265625,77.55419921875,2241,18,436,0,0,46
41.89453125,63.30078125,0.2099609375,12.939453125,0.9052734375,False,0.0895947265625,77.55419921875,1753,12,447,0,0,41
41.89453125,63.30078125,0.3935546875,219.970703125,0.9052734375,False,0.0895947265625,77.55419921875,1886,15,449,0,0,36
41.89453125,63.30078125,0.3935546875,12.939453125,0.0361328125,False,0.0895947265625,77.55419921875,2042,11,425,0,0,64
41.89453125,63.30078125,0.3935546875,12.939453125,0.9052734375,True,0.0895947265625,77.55419921875,2204,17,434,0,0,49
41.89453125,63.30078125,0.3935546875,12.939453125,0.9052734375,False,0.2616845703125,77.55419921875,2288,15,445,0,0,40
41.89453125,63.30078125,0.3935546875,12.939453125,0.9052734375,False,0.0895947265625,99.51416015625,1694,23,472,0,0,5
42.51953125,76.66015625,0.2099609375,219.970703125,0.0361328125,True,0.2616845703125,99.51416015625,1610,13,466,0,0,21
31.89453125,93.30078125,0.8935546875,137.939453125,0.4052734375,True,0.3370947265625,27.80419921875,2146,20,439,0,0,41
32.51953125,93.30078125,0.8935546875,137.939453125,0.4052734375,True,0.3370947265625,27.80419921875,2116,13,454,0,0,33
31.89453125,106.66015625,0.8935546875,137.939453125,0.4052734375,True,0.3370947265625,27.80419921875,2111,15,433,0,0,52
31.89453125,93.30078125,0.7099609375,137.939453125,0.4052734375,True,0.3370947265625,27.80419921875,1878,9,444,0,0,47
31.89453125,93.30078125,0.8935546875,94.970703125,0.4052734375,True,0.3370947265625,27.80419921875,2130,21,434,0,0,45
31.89453125,93.30078125,0.8935546875,137.939453125,0.5361328125,True,0.3370947265625,27.80419921875,2163,13,433,0,0,54
31.89453125,93.30078125,0.8935546875,137.939453125,0.4052734375,False,0.3370947265625,27.80419921875,2294,13,439,0,0,48
31.89453125,93.30078125,0.8935546875,137.939453125,0.4052734375,True,0.014184570312499999,27.80419921875,1709,14,470,0,0,16
31.89453125,93.30078125,0.8935546875,137.939453125,0.4052734375,True,0.3370947265625,49.76416015625,1943,15,438,0,0,47
32.51953125,106.66015625,0.7099609375,94.970703125,0.5361328125,False,0.014184570312499999,49.76416015625,1669,19,460,0,0,21
31.26953125,61.42578125,0.0498046875,114.501953125,0.6240234375,False,0.4763134765625,80.66357421875,2216,8,449,0,0,43
30.64453125,61.42578125,0.0498046875,114.501953125,0.6240234375,False,0.4763134765625,80.66357421875,1870,13,445,0,0,42
31.26953125,74.78515625,0.0498046875,114.501953125,0.6240234375,False,0.4763134765625,80.66357421875,1984,11,449,0,0,40
31.26953125,61.42578125,0.7412109375,114.501953125,0.6240234375,False,0.4763134765625,80.66357421875,1893,14,422,0,0,64
31.26953125,61.42578125,0.0498046875,55.908203125,0.6240234375,False,0.4763134765625,80.66357421875,2230,17,415,0,0,68
31.26953125,61.42578125,0.0498046875,114.501953125,0.4423828125,False,0.4763134765625,80.66357421875,2237,13,456,0,0,31
31.26953125,61.42578125,0.0498046875,114.501953125,0.6240234375,False,0.4763134765625,80.66357421875,2028,11,444,0,0,45
31.26953125,61.42578125,0.0498046875,114.501953125,0.6240234375,False,0.3390283203125,80.66357421875,1869,14,465,0,0,21
31.26953125,61.42578125,0.0498046875,114.501953125,0.6240234375,False,0.4763134765625,65.31103515625,2074,17,433,0,0,50
