,infected,recovered,fatalities,infected_known,susceptible,severity0,severity1,severity2
355,578,23,1,362,1398,206,272,103
356,579,23,1,362,1397,207,270,105
357,578,24,1,361,1397,207,270,106
358,578,24,2,360,1396,206,272,106
359,578,24,2,360,1396,208,272,106
360,577,27,2,367,1394,208,271,107
361,578,28,2,367,1392,208,271,107
362,579,29,3,365,1389,208,271,107
363,579,30,3,365,1388,209,271,107
364,579,32,3,364,1386,209,271,107
365,580,32,3,364,1385,212,271,107
366,579,33,4,362,1384,212,271,107
367,581,34,4,361,1381,214,271,107
368,582,35,4,360,1379,213,272,108
369,581,37,4,359,1378,213,271,109
370,583,38,4,367,1375,216,271,109
371,581,40,4,366,1375,217,270,110
372,580,41,4,366,1375,218,270,110
373,579,43,4,364,1374,219,270,110
374,578,46,4,362,1372,219,270,110
375,578,47,4,361,1371,220,271,110
376,578,48,4,360,1370,221,271,110
377,580,49,4,359,1367,221,271,110
378,579,50,4,359,1367,222,271,110
379,579,52,4,357,1365,221,272,110
380,580,52,4,364,1364,223,271,111
381,579,53,4,363,1364,225,271,111
382,577,55,4,361,1364,228,270,112
383,578,55,4,361,1363,228,271,112
384,578,55,4,361,1363,229,272,112
385,578,57,4,360,1361,230,272,112
386,576,59,4,358,1361,231,272,112
387,575,61,5,355,1359,232,274,112
388,574,63,5,353,1358,232,275,113
389,576,63,5,353,1356,233,275,113
390,577,64,5,354,1354,236,273,115
391,576,65,6,352,1353,236,273,115
392,572,70,6,347,1352,236,272,116
393,574,73,6,344,1347,237,270,118
394,570,79,7,339,1344,239,270,118
395,570,79,7,339,1344,240,270,118
396,571,79,7,339,1343,240,271,118
397,571,82,7,337,1340,242,272,118
398,570,83,7,336,1340,241,273,118
399,567,85,8,333,1340,242,274,118
400,564,88,8,337,1340,243,274,118
401,563,89,8,336,1340,243,274,118
402,561,91,8,334,1340,243,274,118
403,559,93,8,332,1340,242,275,119
404,558,94,8,331,1340,242,275,119
405,553,99,8,328,1340,244,275,119
406,552,101,8,326,1339,243,276,119
407,550,103,8,324,1339,244,277,119
408,548,104,9,322,1339,244,278,119
409,548,104,10,321,1338,244,278,121
410,545,109,10,324,1336,246,278,121
411,544,110,11,322,1335,247,278,121
412,541,113,11,320,1335,248,278,121
413,539,115,11,318,1335,253,278,121
414,541,116,11,318,1332,256,278,121
415,537,119,12,315,1332,253,281,121
416,537,120,12,314,1331,254,280,122
417,536,121,12,313,1331,255,282,122
418,536,123,12,311,1329,254,282,123
419,539,124,12,311,1325,254,282,123
420,540,126,13,319,1321,252,284,123
421,540,126,14,318,1320,251,284,124
422,540,127,14,317,1319,251,284,124
423,540,129,14,316,1317,251,284,124
424,542,129,14,316,1315,251,284,124
425,540,130,16,313,1314,249,285,125
426,538,133,16,311,1313,249,286,125
427,537,136,16,310,1311,249,285,126
428,535,138,16,308,1311,249,284,127
429,530,143,16,304,1311,250,284,127
430,529,144,16,312,1311,252,284,127
